C5	0	562
C3	0	312
E5	39	562
G5	78	562
G3	312	312
G5	625	281
C4	625	312
G5	937	312
E4	937	843
E5	1250	312
G5	1562	281
A5	1875	562
A2	1875	312
E3	2187	312
A5	2500	281
A3	2500	281
E5	2812	562
B3	2812	281
C4	3125	562
D5	3437	281
C5	3750	843
F2	3750	312
C3	4062	312
F3	4375	281
D5	4687	843
G2	4687	312
D3	5000	312
G3	5312	281
E5	5625	1687
C3	5625	312
G3	5937	312
C4	6250	281
D4	6562	843
C5	7382	562
E5	7421	562
G5	7460	562
C3	7500	312
G3	7812	312
G5	8125	281
C4	8125	312
G5	8437	312
E4	8437	843
E5	8750	312
G5	9062	281
A5	9375	562
A2	9375	281
E3	9687	281
A5	10000	281
A3	10000	281
E5	10312	562
B3	10312	281
C4	10625	562
D5	10937	281
C5	11250	843
F2	11250	312
C3	11562	312
F3	11875	281
D5	12187	843
G2	12187	312
D3	12500	312
G3	12812	281
C5	13125	1875
C3	13125	312
G3	13437	312
C4	13750	281
E4	14062	562
G4	14687	281
C5	15000	843
G3	16562	281
C4	16875	843
C3	16875	312
G3	17187	312
C4	17500	1125
D4	17812	562
E4	17812	562
E4	18437	281
G4	18437	281
G4	18750	281
E2	18750	312
E4	19062	281
B2	19062	312
E4	19375	312
E3	19375	1125
E4	19687	562
G3	19687	843
A3	20312	281
C4	20625	843
F2	20625	312
C3	20937	312
F3	21250	1125
D4	21562	312
A3	21562	843
C4	21562	843
F4	21562	843
C4	21875	312
A3	22187	281
G3	22500	843
G2	22500	312
D3	22812	312
F3	23125	1125
B3	23437	843
D4	23437	843
G4	23437	843
G3	24062	281
C4	24375	843
C3	24375	312
G3	24687	312
C4	25000	1125
D4	25312	562
E4	25312	281
C5	25312	281
G4	25625	281
E4	25937	281
E4	25937	281
A4	26250	281
E2	26250	312
E4	26562	281
B2	26562	312
G4	26875	312
E3	26875	1125
G4	27187	562
G3	27187	843
B3	27187	843
E4	27187	843
E4	27812	281
C4	28125	562
F2	28125	312
C3	28437	312
C4	28750	281
F3	28750	1125
D4	29062	562
A3	29062	281
C4	29375	281
G4	29687	281
F4	29687	281
E4	30000	281
G2	30000	312
D4	30312	625
D3	30312	312
G3	30625	1125
D4	30937	281
B3	30937	281
G4	30937	281
D4	31250	281
E4	31562	281
B3	31562	281
G4	31875	843
E2	31875	312
B2	32187	312
E3	32500	1125
G4	32812	281
B3	32812	281
G4	32812	281
E4	33125	281
E4	33125	281
G4	33437	281
G4	33437	281
A4	33750	281
A2	33750	312
C5	34062	281
E3	34062	312
A4	34375	312
A3	34375	1125
A4	34687	562
