G4	0	2376
C3	0	2376
C4	0	2376
D6	2500	140
G6	2500	140
C4	2500	1126
D#6	2656	140
C6	2812	282
D6	3125	140
G6	3125	140
D#6	3281	140
C6	3437	282
G5	3750	140
C6	3750	140
G#3	3750	1126
G#5	3906	140
F5	4062	282
G5	4375	140
C6	4375	140
G#5	4531	140
F5	4687	282
A5	5000	140
D6	5000	140
G3	5000	1126
B5	5156	140
G5	5312	282
G5	5625	282
D6	5625	282
D5	5937	140
G5	5937	140
D#5	6093	140
C5	6250	282
C3	6250	1126
D5	6562	140
G5	6562	140
D#5	6718	140
C5	6875	562
D6	7500	140
G6	7500	140
C4	7500	1126
D#6	7656	140
C6	7812	282
D6	8125	140
G6	8125	140
D#6	8281	140
G6	8437	140
C6	8593	140
G5	8750	140
C6	8750	140
G#3	8750	1126
G#5	8906	140
F5	9062	282
G5	9375	140
C6	9375	140
G#5	9531	140
C6	9687	140
F5	9843	140
A5	10000	140
D6	10000	140
G3	10000	1126
B5	10156	140
G5	10312	282
G5	10625	282
D6	10625	282
D5	10937	140
G5	10937	140
D#5	11093	140
C5	11250	282
C3	11250	1126
D5	11562	140
G5	11562	140
D#5	11718	140
C5	11875	562
D5	12500	140
G5	12500	140
C2	12500	1126
C3	12500	1126
D#5	12656	140
C5	12812	595
G5	13437	140
C5	13593	140
D5	13750	140
G5	13750	140
G#2	13750	1126
G#3	13750	1126
D#5	13906	140
C5	14062	595
G5	14687	140
C5	14843	140
D5	15000	140
G5	15000	140
G2	15000	1126
G3	15000	1126
D#5	15156	140
C5	15312	282
C5	15625	282
G5	15625	282
B4	15937	140
C5	16093	439
G5	16093	439
C2	16250	1126
C3	16250	1126
D5	16562	140
G5	16562	140
D#5	16718	140
C5	16875	562
D5	17500	140
G5	17500	140
C2	17500	1126
C3	17500	1126
D#5	17656	140
C5	17812	595
G5	18437	140
C5	18593	140
D5	18750	140
G5	18750	140
G#2	18750	1126
G#3	18750	1126
D#5	18906	140
C5	19062	595
G5	19687	140
C5	19843	140
D5	20000	140
G5	20000	140
G2	20000	1126
G3	20000	1126
D#5	20156	140
C5	20312	282
C5	20625	282
G5	20625	282
B4	20937	140
C5	21093	439
G5	21093	439
C2	21250	1126
C3	21250	1126
D5	21562	140
G5	21562	140
D#5	21718	140
C5	21875	562
D5	22500	140
G5	22500	140
C3	22500	562
D#5	22656	140
C5	22812	595
D#3	23125	562
G3	23125	562
C4	23125	562
G5	23437	140
C5	23593	140
G4	23750	140
C5	23750	140
F2	23750	562
G#4	23906	140
F4	24062	843
G#2	24375	562
C3	24375	562
F3	24375	562
A4	25000	140
D5	25000	140
G2	25000	562
B4	25156	140
G4	25312	282
G4	25625	282
D5	25625	282
B2	25625	562
D3	25625	562
G3	25625	562
D4	25937	140
G4	25937	140
