E5	0	875
A3	0	436
E4	461	436
G#5	923	875
C#5	923	436
A4	1384	436
F#5	1846	875
B3	1846	436
F#4	2307	436
C#5	2769	436
B4	2769	875
B4	3230	436
E4	3692	921
E3	3692	436
G#4	3813	798
C#5	3936	675
B3	4153	436
D#4	4615	921
D#3	4615	436
G#4	4736	798
B4	4859	675
B3	5076	436
E4	5538	875
G#4	5538	875
C#3	5538	436
G#3	6000	436
C#5	6461	436
E4	6461	875
D#5	6923	436
A4	7384	875
E5	7384	875
A2	7384	436
E3	7846	436
C#5	8307	875
G#5	8307	875
E4	8307	436
C#4	8769	436
B4	9230	1313
F#5	9230	1313
B2	9230	436
F#3	9692	436
B3	10153	436
B5	10615	436
D#4	10615	436
B4	11076	2767
E3	11076	436
E5	11198	2644
G#5	11319	2523
B3	11538	436
E4	12000	436
F#4	12461	436
G#3	12923	875
B3	12923	875
D4	12923	875
C#5	13846	436
F#4	13846	436
D#5	14307	436
G#4	14307	436
A4	14769	875
E5	14769	875
A2	14769	436
E3	15230	436
G#5	15692	875
C#4	15692	436
A3	16153	436
B4	16615	1313
F#5	16615	1313
B2	16615	436
F#3	17076	436
B3	17538	875
E5	18000	217
D#5	18230	217
E5	18461	875
E3	18461	436
B3	18923	436
B4	19384	436
D#3	19384	436
A4	19846	436
B3	19846	436
B4	20307	875
C#3	20307	436
G#3	20769	436
C#5	21230	436
C#4	21230	875
D#5	21692	436
A4	22153	1313
E5	22153	1313
A2	22153	436
E3	22615	436
C#4	23077	436
G#5	23538	436
A3	23538	436
B4	24000	1313
F#5	24000	1313
B2	24000	436
F#3	24461	436
B3	24923	875
B4	25384	436
C#5	25846	4774
C#3	25846	436
G#3	26307	469
C#4	26804	507
D#4	27341	553
E4	27926	607
G#4	28568	673
D#4	29280	755
E4	30078	859
E4	30987	436
E3	30987	436
B3	31449	436
G#3	31449	875
E4	31910	217
G#4	32141	655
E3	32372	436
A4	32834	436
A2	32834	436
G#4	33295	436
E3	33295	436
F#4	33757	217
A3	33757	875
E4	33987	655
E4	34680	436
B2	34680	436
B3	35141	436
F#3	35141	436
E4	35603	217
B3	35603	436
F#4	35834	655
F#3	36064	436
G#4	36526	1751
E3	36526	875
G#3	36526	875
D#3	37449	875
F#3	37449	875
E4	38372	436
E3	38372	1313
B3	38834	436
E4	39295	217
G#4	39526	655
G#3	39757	436
A4	40218	436
A2	40218	436
G#4	40680	436
E3	40680	436
F#4	41141	217
C#4	41141	436
E4	41372	655
A3	41603	436
G#4	42064	436
B2	42064	436
F#4	42526	217
F#3	42526	436
F#4	42757	436
B3	42987	875
E4	43218	655
E4	43911	1751
E2	43911	436
B2	44372	436
E3	44834	436
G#3	45295	436
E4	45757	436
E3	45757	875
B3	46218	436
E4	46680	217
B3	46680	436
G#4	46911	655
G#3	47141	436
A4	47603	436
A2	47603	436
G#4	48064	436
E3	48064	436
F#4	48526	217
A3	48526	436
E4	48757	655
E3	48987	436
C#5	49449	436
B2	49449	436
B4	49911	217
F#3	49911	436
B4	50141	436
B3	50372	875
A4	50603	655
G#4	51295	875
E3	51295	875
G#3	51295	875
F#4	52218	875
D#3	52218	875
E4	53141	436
C#3	53141	436
B3	53603	436
G#3	53603	436
E4	54064	217
E4	54064	436
G#4	54295	655
C#4	54526	436
