B2	0	312
F#3	312	281
B3	625	156
F#3	937	156
G2	1250	312
D3	1562	281
G3	1875	156
D3	2187	156
A2	2500	312
E3	2812	281
A3	3125	156
E3	3437	156
D3	3750	312
A3	4062	281
D4	4375	156
A3	4687	156
B2	5000	312
F#3	5312	281
B3	5625	156
F#3	5937	156
G2	6250	312
D3	6562	281
G3	6875	156
D3	7187	156
A2	7500	312
E3	7812	281
A3	8125	156
E3	8437	156
D3	8750	312
A3	9062	281
A4	9375	78
D4	9375	156
D5	9531	78
E5	9687	78
A3	9687	156
F#5	9843	78
E5	10000	281
B2	10000	312
D5	10312	140
F#3	10312	281
D5	10468	718
B3	10625	156
F#3	10937	156
G2	11250	312
D3	11562	281
A4	11875	78
G3	11875	156
D5	12031	78
E5	12187	78
D3	12187	156
F#5	12343	78
E5	12500	281
A2	12500	312
D5	12812	140
E3	12812	281
E5	12968	296
A3	13125	156
F#5	13281	281
E3	13437	156
F#5	13593	718
D3	13750	312
A3	14062	281
A4	14375	78
D4	14375	156
D5	14531	78
E5	14687	78
A3	14687	156
F#5	14843	78
E5	15000	281
B2	15000	312
D5	15312	140
F#3	15312	281
D5	15468	718
B3	15625	156
F#3	15937	156
G2	16250	312
D3	16562	281
A4	16875	78
G3	16875	156
D5	17031	78
E5	17187	78
D3	17187	156
F#5	17343	78
E5	17500	281
A2	17500	312
D5	17812	140
E3	17812	281
E5	17968	296
A3	18125	156
A5	18281	281
E3	18437	156
F#5	18593	718
D3	18750	312
A3	19062	281
F#5	19375	281
F#4	19375	281
D4	19375	156
G5	19687	281
G4	19687	281
A3	19687	156
A5	20000	281
C#5	20000	281
A4	20000	281
A2	20000	281
A5	20312	140
C#5	20312	140
E3	20312	281
A5	20468	437
C#5	20468	437
A3	20625	281
A5	20937	281
C#5	20937	281
E3	20937	281
A5	21250	281
B4	21250	281
G2	21250	281
F#5	21562	140
B4	21562	140
D3	21562	281
D5	21718	437
B4	21718	437
G3	21875	281
F#5	22187	140
D3	22187	281
G5	22343	140
A5	22500	281
C#5	22500	281
A4	22500	281
F#2	22500	281
A5	22812	140
C#5	22812	140
C#3	22812	281
A5	22968	437
C#5	22968	437
F#3	23125	281
A5	23437	281
C#5	23437	281
C#3	23437	281
A5	23750	281
B4	23750	281
B2	23750	281
F#5	24062	140
B4	24062	140
F#3	24062	281
D5	24218	437
B4	24218	437
B3	24375	281
D5	24687	140
F#3	24687	281
E5	24843	140
F#5	25000	281
G#4	25000	281
E2	25000	281
F#5	25312	140
G#4	25312	140
B2	25312	281
F#5	25468	437
G#4	25468	437
E3	25625	281
F#5	25937	281
G#4	25937	281
B2	25937	281
F#5	26250	281
B4	26250	281
G2	26250	281
B5	26562	281
D3	26562	281
B5	26875	69
E5	26875	69
G3	26875	281
F#5	26979	69
E5	27083	69
D5	27187	281
D3	27187	281
E5	27500	562
A2	27500	281
E3	27812	281
E4	28125	281
B4	28125	281
E5	28125	281
A3	28125	281
E4	28437	140
B4	28437	140
E3	28437	281
E4	28593	140
B4	28593	140
E5	28750	281
B4	28750	281
A2	28750	281
C#5	29062	156
E3	29062	281
A4	29375	78
A3	29375	281
D5	29531	78
E5	29687	78
E3	29687	281
F#5	29843	78
E5	30000	281
B2	30000	312
D5	30312	140
F#3	30312	281
D5	30468	718
B3	30625	156
F#3	30937	156
G2	31250	312
D3	31562	281
A4	31875	78
G3	31875	156
D5	32031	78
E5	32187	78
D3	32187	156
F#5	32343	78
E5	32500	281
A2	32500	312
D5	32812	140
E3	32812	281
E5	32968	296
A3	33125	156
F#5	33281	281
E3	33437	156
F#5	33593	718
D3	33750	312
A3	34062	281
A4	34375	78
D4	34375	156
D5	34531	78
E5	34687	78
A3	34687	156
F#5	34843	78
E5	35000	281
B2	35000	312
D5	35312	140
F#3	35312	281
D5	35468	718
B3	35625	156
F#3	35937	156
G2	36250	312
D3	36562	281
A4	36875	78
G3	36875	156
D5	37031	78
E5	37187	78
D3	37187	156
F#5	37343	78
E5	37500	281
A2	37500	312
D5	37812	140
E3	37812	281
