D4	0	300
F#4	300	300
A4	600	299
A4	899	600
A5	1500	299
A5	1799	299
F#5	2400	299
F#5	2699	299
D4	3300	299
D4	3599	299
F#4	3899	299
A4	4199	300
A4	4500	599
A5	5100	300
A5	5400	299
G5	6000	300
G5	6300	299
C#4	6900	0
C#4	7200	0
E4	7500	299
B4	7800	300
B4	8100	599
B5	8700	300
B5	9000	300
G5	9600	300
G5	9900	300
C#4	10500	0
C#4	10800	0
E4	11100	299
B4	11400	300
B4	11700	599
B5	12300	300
B5	12600	300
F#5	13200	300
F#5	13500	300
D4	14100	300
D4	14400	300
F#4	14700	299
A4	15000	300
D5	15300	599
D6	15900	299
D6	16200	300
A5	16800	299
A5	17100	300
D4	17700	299
D4	18000	300
F#4	18300	300
A4	18600	299
D5	18900	600
D6	19500	299
D6	19799	300
B5	20400	299
B5	20699	300
E4	21299	299
E4	21599	300
G4	21899	300
B4	22199	299
B4	22499	800
G#4	23299	300
A4	23599	300
F#5	23899	799
D5	24699	300
F#4	24999	300
F#4	25299	600
E4	25899	299
B4	26199	600
A4	26799	299
D4	27099	300
D5	28299	300
C#5	28599	299
C#5	28899	300
B4	29199	300
B4	29499	299
B4	30099	300
A#4	30399	299
A#4	30699	300
B4	30999	300
B4	31299	299
E4	31899	299
E4	32199	300
F#4	32499	600
E4	33099	299
E4	33699	300
E4	33999	299
B4	34299	600
A4	34899	299
D5	35499	300
C#5	35799	299
C#5	36099	299
B4	36399	300
B4	36699	299
B4	37299	300
C#5	37599	299
E5	37899	299
D5	38199	300
D5	38499	300
G4	39099	300
B4	39399	299
B4	39699	600
A4	40299	299
G#5	40599	600
F#5	41199	299
F#5	41499	299
E5	42099	299
A4	42399	149
D5	42699	300
C#5	42999	299
C#5	43299	299
B4	43599	300
B4	43899	299
B4	44499	300
A#4	44799	299
A#4	45099	299
B4	45399	300
B4	45699	299
E4	46299	300
E4	46599	299
F#4	46899	600
E4	47499	299
E4	48099	300
E4	48399	299
B4	48699	600
A4	49299	299
