G#2	3870	459
D#3	4112	217
G#3	4354	435
D#4	4596	895
G#2	4838	459
D#3	5080	217
A#3	5322	435
D#4	5564	217
F2	5806	1838
C3	6048	1596
G3	6290	217
G#3	6532	217
C4	6774	870
D#2	7741	1185
A#2	7983	1620
D#3	8225	459
G3	8467	217
A#3	8709	217
G#3	9677	870
F3	9677	870
F2	9677	870
G#2	11612	459
D#3	11854	217
G#3	12096	435
D#4	12338	895
G#2	12580	459
D#3	12822	217
A#3	13064	435
D#4	13306	217
F2	13548	1838
C3	13790	1596
G3	14032	217
G#3	14274	217
C4	14516	870
D#2	15483	1185
A#2	15725	1620
D#3	15967	459
G3	16209	217
A#3	16451	217
C4	17419	870
G#3	17419	870
F2	17419	870
G#4	18870	217
A#4	19112	217
C5	19354	435
G#2	19354	459
D#3	19596	217
C5	19838	459
G#3	19838	435
D#4	20080	677
A#4	20322	435
D#3	20322	459
G3	20564	217
C5	20806	459
A#3	20806	435
D#4	21048	459
A#4	21290	217
F3	21290	1838
G#4	21532	217
G4	21774	217
G3	21774	217
F4	22016	459
G#3	22016	217
C4	22258	459
C4	22741	217
F4	22983	217
D#4	23225	653
D#2	23225	1185
A#2	23467	1620
D#3	23709	459
F4	23951	217
G3	23951	217
G4	24193	435
A#3	24193	217
F4	24677	217
D#4	24919	217
F4	25161	870
G#3	25161	870
F3	25161	870
G#4	26129	217
G4	26370	217
F4	26612	217
G4	26854	217
F4	27096	870
C#2	27096	459
G#2	27338	217
C#3	27580	217
D#3	27822	217
F3	28064	217
G#3	28306	217
G3	28548	217
D#3	28790	217
A#3	29032	943
G3	29032	653
C5	29758	217
G#5	29999	217
G5	30241	217
F5	30483	217
G5	30725	217
F5	30967	870
F2	30967	1185
C3	31209	1185
G3	31451	459
G#3	31693	217
C4	31935	653
G3	32177	217
G#3	32419	435
C4	32661	217
F2	32903	1185
C3	33145	1185
G3	33387	459
G#3	33628	217
C4	33870	435
G3	34112	217
G#4	34354	217
G#3	34354	217
A#4	34596	217
G3	34596	217
C5	34838	435
G#2	34838	459
D#3	35080	217
C5	35322	459
G#3	35322	435
D#4	35564	677
A#4	35806	435
D#3	35806	459
G3	36048	217
C5	36290	459
A#3	36290	435
D#4	36532	459
A#4	36774	217
F3	36774	1838
C4	37016	459
C5	37016	217
D#5	37258	217
G3	37258	217
G#4	37499	459
G#3	37499	217
C4	37741	677
C5	38467	217
A#4	38709	435
D#2	38709	1185
A#2	38951	1620
A#4	39193	459
D#3	39193	459
G3	39435	217
A#4	39677	217
A#3	39677	217
G#4	39919	217
G4	40161	217
G#4	40403	895
G#3	40645	870
F3	40645	870
G#4	41370	217
G#4	41612	217
G4	41854	217
F4	42096	217
G4	42338	459
C#2	42580	459
F4	42822	653
G#2	42822	217
C#3	43064	217
D#3	43306	217
F3	43548	217
G#3	43790	217
G3	44032	217
D#3	44274	217
A#3	44516	943
G3	44516	653
C5	45241	217
G#5	45483	217
G5	45725	217
F5	45967	217
D#5	46209	217
F5	46451	435
F2	46451	1185
C3	46693	1185
G5	46935	217
G3	46935	459
F5	47177	2080
G#3	47177	217
C4	47419	217
G3	47661	217
G#3	47903	435
C4	48145	217
F2	48387	1185
C3	48628	1185
G3	48870	459
G#3	49112	217
C4	49354	870
G3	49596	217
G#3	49838	217
G3	50080	217
G#2	50322	459
D#3	50564	217
G#3	50806	217
D#4	51048	217
G#3	51048	217
C5	51290	459
C4	51532	217
A#4	51774	217
G#4	52016	217
A#4	52258	435
D#3	52258	677
A#3	52499	435
D#4	52741	217
C5	52741	217
A#4	52983	459
A#3	52983	217
D#4	53467	653
G3	53467	653
C#3	54193	895
G#4	54435	217
G#3	54435	653
C#4	54677	217
F4	54677	217
D#4	54919	459
G4	54919	217
G#4	55161	217
F4	55403	217
F5	55403	217
D#5	55645	217
G#4	55887	217
C5	56128	870
G#2	56128	459
D#3	56370	217
G#3	56612	217
A#3	56854	217
C5	57338	217
C4	57338	217
A#4	57580	217
C5	57822	217
C#5	58064	1185
A#2	58064	459
F3	58306	217
A#3	58548	435
C4	58790	459
C#4	59274	653
F#4	59999	653
A#4	59999	653
F#2	59999	701
C#3	60483	217
F#4	60725	677
C5	60725	677
F#3	60725	459
G#3	61209	653
C#5	61451	435
E4	61935	1862
C5	61935	1862
C3	61935	1911
G3	62419	701
C4	62661	459
E3	63145	435
G3	63628	217
C3	63870	919
E3	64354	435
G#4	64596	217
A#4	64838	217
A#3	64838	217
G3	64838	217
D#3	64838	895
D#5	65080	435
C5	65564	895
G#2	65806	459
D#3	66048	217
G#3	66290	217
C5	66532	459
A#3	66532	217
C#5	67016	217
D#5	67257	217
F5	67499	217
A#4	67741	653
